INTERVAL_START,INTERVAL_END,INTERVAL_STATUS,INTERVAL_NUM,INTERVAL_START,INTERVAL_DURATION,INTERVAL_DATA_POINTS,FAN0,FAN1,HEATER1,,SENS0_TEMP,SENS0_PRESS,SENS0_HUM,,SENS1_TEMP,SENS1_PRESS,SENS1_HUM,,SENS2_TEMP,SENS2_PRESS,SENS2_HUM,,SENS3_TEMP,SENS3_PRESS,SENS3_HUM
1726783663,1726783673,OK,389,12054.67,10.05,188,255,255,0,,22.94,981.33,35.38,,24.72,994.54,28.28,,21.36,990.58,34.01,,23.53,985.8,29.37
1726784582,1726784592,OK,480,12972.84,10.05,188,255,255,15,,39.08,981.29,13.95,,30.82,994.98,17.39,,21.72,990.58,33.11,,30.72,986.08,17.38
1726785238,1726785248,OK,545,13628.67,10.05,188,255,255,14,,38.09,981.27,14.68,,30.54,994.95,17.74,,21.67,990.62,33.25,,30.38,986.1,17.73
1726785915,1726785925,OK,612,14304.69,10.05,188,255,255,13,,36.9,981.28,15.37,,29.99,994.88,18.12,,21.49,990.59,33.09,,29.81,986.03,18
1726786571,1726786581,OK,677,14960.52,10.05,188,255,255,12,,35.59,981.27,16.38,,29.41,994.88,18.66,,21.36,990.58,32.9,,29.17,986.01,18.58
1726787217,1726787227,OK,741,15606.26,10.05,188,255,255,11,,34.38,981.31,17.54,,28.95,994.9,19.5,,21.38,990.67,33.02,,28.64,986.07,19.32
1726787833,1726787843,OK,802,16221.74,10.05,188,255,255,10,,33.11,981.27,18.8,,28.43,994.81,20.14,,21.26,990.61,33.04,,28.04,986.07,20.09
1726788449,1726788459,OK,863,16837.15,10.05,188,255,255,9,,32.07,981.3,19.97,,28.01,994.8,20.82,,21.27,990.65,33,,27.59,986.03,20.8
1726789156,1726789166,OK,933,17543.35,10.05,188,255,255,8,,30.9,981.21,21.16,,27.55,994.7,21.32,,21.18,990.55,32.83,,27.04,985.97,21.42
1726789771,1726789781,OK,994,18158.74,10.05,188,255,255,7,,29.74,981.15,22.62,,27.13,994.61,22.03,,21.17,990.54,32.82,,26.53,985.88,22.26
1726790387,1726790397,OK,1055,18774.12,10.05,188,255,255,6,,28.69,981.22,24.24,,26.79,994.66,22.87,,21.21,990.58,33,,26.08,985.89,23.24
1726791003,1726791013,OK,1116,19389.54,10.05,188,255,255,5,,27.88,981.3,25.74,,26.59,994.69,23.65,,21.38,990.67,33.15,,25.8,985.96,24.14
1726791619,1726791629,OK,1177,20004.93,10.05,188,255,255,4,,26.93,981.35,27.52,,26.34,994.74,24.59,,21.54,990.71,33.36,,25.47,985.97,25.13
1726792234,1726792244,OK,1238,20620.25,10.05,188,255,255,3,,25.9,981.37,29.62,,26,994.77,25.73,,21.59,990.78,33.76,,25.05,986.05,26.38
1726793062,1726793072,OK,1320,21447.45,10.05,188,255,255,2,,24.85,981.42,33.58,,25.63,994.8,28.9,,21.64,990.82,36.24,,24.6,986.02,29.44
1726793688,1726793698,OK,1382,22072.94,10.05,188,255,255,1,,24.12,981.54,36.03,,25.46,994.87,29.6,,21.88,990.91,35.98,,24.35,986.1,30.99
1726794354,1726794364,OK,1448,22738.8,10.05,188,255,255,0,,23.55,981.53,37.52,,25.25,994.81,30.79,,21.8,990.9,36.92,,24.09,986.08,31.79
