INTERVAL_START,INTERVAL_END,INTERVAL_STATUS,INTERVAL_NUM,INTERVAL_START,INTERVAL_DURATION,INTERVAL_DATA_POINTS,FAN0,FAN1,HEATER1,,SENS0_TEMP,SENS0_PRESS,SENS0_HUM,,SENS1_TEMP,SENS1_PRESS,SENS1_HUM,,SENS2_TEMP,SENS2_PRESS,SENS2_HUM,,SENS3_TEMP,SENS3_PRESS,SENS3_HUM
1726859003,1726859013,OK,1003,18359.59,10.05,188,255,255,0,,22.14,980.43,36.27,,24.09,993.72,29.01,,20.84,989.78,34.74,,22.91,985.09,30.4
1726859730,1726859740,OK,1075,19086.17,10.05,188,100,255,15,,37.97,980.21,14.27,,32.24,994.03,15.13,,21.17,989.15,34.07,,30.99,985.24,16.48
1726860366,1726860376,OK,1138,19721.92,10.05,188,150,255,15,,38.37,980.05,13.79,,31.47,993.83,15.88,,21.28,989.17,33.55,,30.79,985.09,16.56
1726860982,1726860992,OK,1199,20337.46,10.05,188,200,255,15,,38.5,979.9,13.6,,31.03,993.7,16.46,,21.41,989.18,33.27,,30.68,984.95,16.6
1726861598,1726861608,OK,1260,20952.98,10.05,188,250,255,15,,38.58,979.85,13.42,,30.67,993.66,16.84,,21.42,989.27,33.12,,30.49,984.9,16.7
1726862224,1726862234,OK,1322,21578.65,10.05,188,225,255,15,,39.08,979.82,12.91,,31.07,993.6,16.12,,21.49,989.15,32.74,,30.83,984.87,16.09
1726862880,1726862890,OK,1387,22234.59,10.05,188,175,255,15,,38.26,979.74,13.59,,31.33,993.6,15.7,,21.41,988.99,32.85,,30.78,984.86,16.16
1726863526,1726863537,OK,1451,22880.44,10.05,188,125,255,15,,37.96,979.75,13.72,,31.9,993.61,14.77,,21.34,988.84,32.75,,30.95,984.85,15.73
1726864163,1726864173,OK,1514,23516.21,10.05,188,255,100,15,,47.87,979.2,6.87,,31.96,993.52,14.66,,21.17,989.1,33.13,,28.47,984.53,19.27
1726864819,1726864829,OK,1579,24172.16,10.05,188,255,150,15,,43.1,979.22,9.59,,31.39,993.4,15.13,,21.17,989.03,32.74,,29.81,984.51,17.08
1726865435,1726865445,OK,1640,24787.75,10.05,188,255,200,15,,40.88,979.3,11.2,,30.79,993.36,16.13,,21.18,989.04,32.98,,30.08,984.53,16.8
1726866091,1726866101,OK,1705,25443.69,10.05,188,255,250,15,,40.17,979.44,11.64,,30.47,993.41,16.4,,21.22,989.1,32.59,,30.21,984.63,16.44
1726866717,1726866727,OK,1767,26069.36,10.05,188,255,225,15,,40.45,979.42,11.35,,30.49,993.4,16.25,,21.17,989.09,32.52,,30.18,984.63,16.35
1726867333,1726867343,OK,1828,26684.94,10.05,188,255,175,15,,42.57,979.31,9.78,,30.94,993.49,15.57,,21.17,989.14,32.42,,30.03,984.65,16.48
1726868060,1726868070,OK,1900,27411.53,10.05,188,255,125,15,,46.27,979.35,7.41,,31.58,993.68,14.68,,21.13,989.29,32.46,,29.37,984.76,17.43
1726868747,1726868757,OK,1968,28097.66,10.05,188,255,255,0,,22.67,979.82,33.01,,24.67,993.19,25.91,,21.06,989.25,32.63,,23.53,984.55,27.16
