INTERVAL_START,INTERVAL_END,INTERVAL_STATUS,INTERVAL_NUM,INTERVAL_START,INTERVAL_DURATION,INTERVAL_DATA_POINTS,FAN0,FAN1,HEATER1,,SENS0_TEMP,SENS0_PRESS,SENS0_HUM,,SENS1_TEMP,SENS1_PRESS,SENS1_HUM,,SENS2_TEMP,SENS2_PRESS,SENS2_HUM,,SENS3_TEMP,SENS3_PRESS,SENS3_HUM
1726842654,1726842664,OK,107,2020.41,10.05,188,255,255,0,,22.7,982.83,40.75,,24.67,995.97,33.18,,21.38,992.08,39.03,,23.48,987.33,34.61
1726843522,1726843532,OK,193,2888.23,10.05,188,125,125,15,,46.08,982.46,9.6,,34.47,996.63,14.71,,21.45,991.66,37.56,,30.86,987.55,19.37
1726844138,1726844148,OK,254,3503.78,10.05,188,150,150,15,,43.9,982.55,10.58,,33.34,996.63,15.34,,21.29,991.84,36.72,,30.97,987.66,18.27
1726844814,1726844824,OK,321,4179.89,10.05,188,175,175,15,,42.42,982.47,11.39,,32.28,996.44,16.31,,21.21,991.77,36.18,,30.79,987.54,18.03
1726845440,1726845451,OK,383,4805.54,10.05,188,200,200,15,,41.24,982.51,12.02,,31.65,996.41,16.81,,21.14,991.81,35.71,,30.69,987.54,17.75
1726846097,1726846107,OK,448,5461.47,10.05,188,225,225,15,,40.17,982.49,12.68,,31.15,996.34,17.18,,21.22,991.84,35.06,,30.58,987.51,17.57
1726846743,1726846753,OK,512,6107.31,10.05,188,250,250,15,,39.49,982.33,13.21,,30.72,996.19,17.74,,21.19,991.74,35.03,,30.28,987.36,17.92
1726847460,1726847470,OK,583,6823.81,10.05,188,238,238,15,,39.22,982.26,13.43,,30.76,996.1,17.68,,21.27,991.67,34.88,,30.32,987.24,17.87
1726848157,1726848167,OK,652,7520.17,10.05,188,213,213,15,,40.45,982.19,12.34,,31.16,996.1,16.95,,21.07,991.58,35.06,,30.45,987.24,17.5
1726848823,1726848833,OK,718,8186.23,10.05,188,188,188,15,,41.42,982.02,11.53,,31.76,995.99,16.05,,21.1,991.41,34.93,,30.61,987.12,17.24
1726849439,1726849449,OK,779,8801.83,10.05,188,163,163,15,,42.5,981.85,10.61,,32.38,995.95,14.98,,21.15,991.27,34.48,,30.59,987.06,17.04
1726850126,1726850136,OK,847,9488.07,10.05,188,138,138,15,,44.42,981.72,9.1,,33.54,996,13.17,,21.23,991.17,33.83,,30.76,987.01,16.52
1726850812,1726850823,OK,915,10174.2,10.05,188,255,255,0,,22.25,981.99,35.37,,24.42,995.26,27.87,,20.86,991.31,34.61,,23.27,986.64,29.08
